"complete_sentence","question_text","english_translation","hint","alternate_correct_responses","option_a","option_b","option_c","option_d","correct_option","cefr_level","topic","explanation","resource"
"Stanno preparando la cena.","___ preparando la cena.","They are preparing dinner.","","","Stanno","Sono","Hanno","Fanno","A","A2","Stare + Gerundio","The present progressive requires 'stare' conjugated for the subject. 'Stanno' is third person plural of stare.","https://www.lawlessitalian.com/grammar/present-progressive/"
"Quando ero giovane, viaggiavo spesso.","Quando ero giovane, ___ spesso.","When I was young, I used to travel often.","","","viaggiavo","ho viaggiato","viaggio","viaggiai","A","A2","Imperfetto vs. Passato Prossimo","The imperfetto expresses habitual past actions. 'Spesso' (often) indicates repeated action requiring imperfetto.","https://www.lawlessitalian.com/grammar/imperfetto/"
"Ieri ho incontrato Maria per caso.","Ieri ___ Maria per caso.","Yesterday I met Maria by chance.","","","ho incontrato","incontravo","incontro","incontrerò","A","A2","Imperfetto vs. Passato Prossimo","Passato prossimo expresses completed actions at specific times. 'Ieri' indicates a specific moment requiring passato prossimo.","https://www.lawlessitalian.com/grammar/passato-prossimo/"
"Mentre dormivo, qualcuno ha bussato alla porta.","Mentre ___, qualcuno ha bussato alla porta.","While I was sleeping, someone knocked at the door.","","","dormivo","ho dormito","dormo","dormirò","A","A2","Imperfetto vs. Passato Prossimo","Imperfetto describes ongoing background actions (dormivo) while passato prossimo marks interrupting events (ha bussato).","https://www.lawlessitalian.com/grammar/imperfetto-vs-passato-prossimo/"
"Tutti i giorni faccio colazione alle sette.","___ i giorni faccio colazione alle sette.","Every day I have breakfast at seven.","","","Tutti","Tutto","Alcune","Qualche","A","A2","Aggettivi e Pronomi Indefiniti","'Tutti' (all/every) agrees with plural masculine 'giorni'. It means 'every' when used with time expressions.","https://www.lawlessitalian.com/grammar/indefinite-adjectives/"
"Qualcuno ha lasciato questo messaggio.","___ ha lasciato questo messaggio.","Someone left this message.","","","Qualcuno","Qualche","Alcuni","Nessuno","A","A2","Aggettivi e Pronomi Indefiniti","'Qualcuno' is an indefinite pronoun meaning 'someone/somebody'. It's invariable and takes singular verb forms.","https://www.lawlessitalian.com/grammar/indefinite-pronouns/"
"Passo per Roma domani.","Passo ___ Roma domani.","I'm passing through Rome tomorrow.","","","per","a","da","in","A","A2","Preposizioni Semplici","'Per' indicates passing through a place. 'Passare per' means 'to pass through/by'.","https://www.lawlessitalian.com/grammar/prepositions/"
"Tutti gli studenti devono fare i compiti a casa.","___ gli studenti devono fare i compiti a casa.","All the students must do their homework at home.","","","Tutti","Ogni","Qualche","Alcuni","A","A2","Aggettivi e Pronomi Indefiniti","Use 'tutti' (all) with plural nouns and articles. 'Tutti gli studenti' means 'all the students'.","https://www.lawlessitalian.com/grammar/indefinite-adjectives-pronouns/"
"Non abbiamo trovato niente di interessante al mercato.","Non abbiamo trovato ___ di interessante al mercato.","We didn't find anything interesting at the market.","","","niente","qualcosa","tutto","molto","A","A2","Aggettivi e Pronomi Indefiniti","Use 'niente' (nothing/anything) in negative sentences. 'Non... niente' = 'not... anything'.","https://www.lawlessitalian.com/grammar/indefinite-adjectives-pronouns/"
"In Italia si beve il caffè dopo pranzo.","In Italia ___ beve il caffè dopo pranzo.","In Italy one drinks coffee after lunch.","","","si","ci","ne","vi","A","A2","Si Impersonale","Use 'si' for impersonal constructions meaning 'one does' or 'people do'.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Si trovano facilmente parcheggi gratuiti in centro.","___ trovano facilmente parcheggi gratuiti in centro.","Free parking spots are easily found in the center.","","","Si","Ci","Ne","Vi","A","A2","Si Impersonale","Use 'si' for impersonal constructions. With plural objects, the verb agrees (parcheggi = trovano).","https://www.lawlessitalian.com/grammar/impersonal-si/"
"In questo museo si vedono opere d'arte molto antiche.","In questo museo si ___ opere d'arte molto antiche.","In this museum very old works of art are seen.","","","vedono","vede","vediamo","vedete","A","A2","Si Impersonale","With si impersonale and plural direct objects, the verb agrees with the plural noun (opere = vedono).","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Il treno parte dalla stazione alle otto.","Il treno parte ___ stazione alle otto.","The train leaves from the station at eight.","","","dalla","nella","alla","sulla","A","A2","Preposizioni Semplici","Use 'da' (from) to indicate the starting point. 'Dalla' = da + la (from the).","https://www.lawlessitalian.com/grammar/prepositions/"
"Due anni fa vivevo in Francia con i miei genitori.","Due anni fa ___ in Francia con i miei genitori.","Two years ago I lived in France with my parents.","","","vivevo","ho vissuto","vivo","vivrò","A","A2","Imperfetto vs. Passato Prossimo","Use imperfetto for states or conditions that lasted for an extended period in the past.","https://www.lawlessitalian.com/grammar/imperfetto/"
"Potresti aiutarmi a spostare questo tavolo?","___ aiutarmi a spostare questo tavolo?","Could you help me move this table?","","","Potresti","Puoi","Potevi","Potrai","A","A2","Condizionale Presente","Use condizionale presente for polite requests. 'Potresti' is more courteous than 'puoi'.","https://www.lawlessitalian.com/grammar/conditional/"
"La persona che mi ha chiamato è il mio professore.","La persona ___ mi ha chiamato è il mio professore.","The person who called me is my professor.","","","che","cui","quale","chi","A","A2","Pronomi Relativi","Use 'che' as a relative pronoun for the subject of the relative clause.","https://www.lawlessitalian.com/grammar/relative-pronouns/"
"Si dice che domani pioverà.","___ dice che domani pioverà.","It is said that it will rain tomorrow.","","","Si","Ci","Lo","Ne","A","A2","Si Impersonale","Si impersonale with 'dire' creates the construction 'si dice che' meaning 'it is said that' or 'people say that'.","https://www.lawlessitalian.com/grammar/si-impersonale/"
"Qui si vendono biciclette usate.","Qui si ___ biciclette usate.","Used bicycles are sold here.","","","vendono","vende","vendeva","venderà","A","A2","Si Impersonale","With si impersonale and plural direct objects, the verb agrees in number with the object (vendono agrees with biciclette).","https://www.lawlessitalian.com/grammar/si-impersonale/"
"Come si fa questo esercizio?","Come ___ fa questo esercizio?","How does one do this exercise?","","","si","ci","lo","ti","A","A2","Si Impersonale","Si impersonale is used in questions to ask about general procedures or methods, equivalent to 'how does one' in English.","https://www.lawlessitalian.com/grammar/si-impersonale/"
"Per arrivare in centro ci vogliono venti minuti.","Per arrivare in centro ___ vogliono venti minuti.","It takes twenty minutes to get to the center.","","","ci","si","ne","li","A","A2","Volerci vs. Metterci","Volerci (ci vuole/ci vogliono) expresses impersonal time or necessity - how long something takes in general.","https://www.lawlessitalian.com/grammar/volerci-metterci/"
"Io ci metto un'ora per preparare la cena.","Io ci ___ un'ora per preparare la cena.","I take an hour to prepare dinner.","","","metto","voglio","porto","faccio","A","A2","Volerci vs. Metterci","Metterci expresses personal time - how long a specific person takes to do something. It conjugates like mettere.","https://www.lawlessitalian.com/grammar/volerci-metterci/"
"Marco è molto simpatico e intelligente.","Marco ___ molto simpatico e intelligente.","Marco is very nice and intelligent.","","","è","ha","fa","sta","A","A2","Verbo Essere e Presente Indicativo","Essere (to be) is used with adjectives to describe permanent or characteristic traits of a person.","https://www.lawlessitalian.com/grammar/essere/"
"Voi siete sempre molto gentili con tutti.","Voi ___ sempre molto gentili con tutti.","You are always very kind to everyone.","","","siete","avete","fate","state","A","A2","Verbo Essere e Presente Indicativo","The second person plural form of essere is 'siete', used with adjectives to describe characteristics.","https://www.lawlessitalian.com/grammar/essere/"
"I bambini stanno giocando nel giardino.","I bambini ___ giocando nel giardino.","The children are playing in the garden.","","","stanno","sono","hanno","fanno","A","A2","Stare + Gerundio","Stare + gerundio expresses ongoing actions in progress, similar to the English present continuous tense.","https://www.lawlessitalian.com/grammar/present-progressive/"
"Ieri ho visto un film molto bello al cinema.","Ieri ho ___ un film molto bello al cinema.","Yesterday I saw a very good movie at the cinema.","","","vedo","visto","vedevo","vedrò","B","A2","Imperfetto vs. Passato Prossimo","The passato prossimo (ho visto) is used to describe a single, completed action in the past, indicated by the time marker 'Ieri' (Yesterday).","https://www.lawlessitalian.com/grammar/passato-prossimo-vs-imperfetto/"
"Da giovane, andavo spesso al lago con la mia famiglia.","Da giovane, ___ spesso al lago con la mia famiglia.","As a young person, I often used to go to the lake with my family.","","","andai","sono andato","andavo","vado","C","A2","Imperfetto vs. Passato Prossimo","The imperfetto (andavo) is used to describe habitual or repeated actions in the past, indicated by the word 'spesso' (often) and the phrase 'Da giovane' (As a young person).","https://www.lawlessitalian.com/grammar/passato-prossimo-vs-imperfetto/"
"La mattina mi sento sempre molto stanco.","La mattina mi sento sempre molto ___.","In the morning, I always feel very tired.","masculine speaker","","stanco","stanca","stanchi","stanche","A","A2","Verbo Essere e Presente Indicativo","The adjective 'stanco' (tired) must agree in gender with the subject, which in this case is a masculine singular speaker (implied by the hint).","https://www.lawlessitalian.com/grammar/adjectives/adjective-agreement/"
"Non c'è niente da fare, è una giornata noiosa.","Non c'è ___ da fare, è una giornata noiosa.","There is nothing to do, it's a boring day.","","","qualcosa","niente","nulla","qualcuno","B","A2","Aggettivi e Pronomi Indefiniti","The indefinite pronoun 'niente' means 'nothing'. It is used here to indicate a complete lack of something to do. 'Nulla' would also be correct.","https://www.lawlessitalian.com/grammar/indefinite-pronouns/"
"Ho comprato alcune bottiglie d'acqua in bottiglia.","Ho comprato ___ bottiglie d'acqua in bottiglia.","I bought some bottles of water in a bottle.","","Ho comprato delle bottiglie d'acqua in bottiglia","qualche","alcune","alcuno","tutti","B","A2","Aggettivi e Pronomi Indefiniti","The indefinite adjective 'alcune' (some/a few) is used here to agree with the feminine plural noun 'bottiglie'.","https://www.lawlessitalian.com/grammar/indefinite-adjectives/"
"Si dice che l'italiano sia una lingua difficile.","Si ___ che l'italiano sia una lingua difficile.","It is said that Italian is a difficult language.","","","dicono","dice","dica","senta","B","A2","Si Impersonale","The impersonal 'si' (si dice) is used to express a general statement or a widespread opinion. It is always followed by a verb in the third-person singular.","https://www.lawlessitalian.com/grammar/verbs/impersonal-si/"
"Che cosa stai leggendo in questo momento?","Che cosa ___ leggendo in questo momento?","What are you reading right now?","","","sei","stai","state","siete","B","A2","Stare + Gerundio","The 'stare + gerundio' construction is used to ask about an action in progress. The correct form for 'tu' (you singular) is 'stai'.","https://www.lawlessitalian.com/grammar/verbs/stare-gerund/"
"Non stiamo parlando di te.","Non ___ parlando di te.","We are not talking about you.","","","siamo","state","stiamo","stai","C","A2","Stare + Gerundio","The 'stare + gerundio' construction is used to express an action in progress. For the subject 'noi' (we, implied), the correct form of 'stare' is 'stiamo'.","https://www.lawlessitalian.com/grammar/verbs/stare-gerund/"
"Mi scusi, venga con me, per favore.","Mi scusi, ___ con me, per favore.","Excuse me (formal), come with me, please.","formal","","vieni","venga","venite","vai","B","A2","Imperativo Formale","The formal imperative (Lei form) of the verb 'venire' (to come) is 'venga'. It is used to give a polite command to someone you address with 'Lei' (indicated by 'Mi scusi').","https://www.lawlessitalian.com/grammar/verbs/imperative-formal/"
"In questa città si mangia molto bene.","In questa città ___ mangia molto bene.","In this city, one eats very well.","","","si","ci","vi","ne","A","A2","Si Impersonale","The impersonal 'si' is used to express that an action is performed by people in general. The verb is always in the third-person singular.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Si dice che il ristorante sia molto buono.","___ dice che il ristorante sia molto buono.","It is said that the restaurant is very good.","","","Si","Ci","Vi","Ne","A","A2","Si Impersonale","The impersonal 'si' is used in the third-person singular to mean 'it is said' or 'one says'.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"In Italia si producono vini eccellenti.","In Italia ___ producono vini eccellenti.","In Italy, excellent wines are produced.","","","si","se","ci","vi","A","A2","Si Impersonale","When the impersonal 'si' is used with a direct object, the verb must agree in number with the object. Since 'vini' is plural, the verb 'produrre' is conjugated in the third-person plural 'producono'.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"A lezione ho conosciuto qualche studente straniero.","A lezione ho conosciuto ___ studente straniero.","In class, I met a few foreign students.","","","qualche","alcuni","tutti","nessun","A","A2","Aggettivi e Pronomi Indefiniti","The indefinite adjective 'qualche' is always followed by a singular noun, even if it has a plural meaning in English. 'Studente' is singular, so 'qualche' is correct.","https://www.lawlessitalian.com/grammar/indefinite-adjectives/"
"Ogni mattina faccio colazione al bar.","___ mattina faccio colazione al bar.","Every morning I have breakfast at the bar.","","","Qualche","Tutta","Ogni","Alcune","C","A2","Aggettivi e Pronomi Indefiniti","The indefinite adjective 'ogni' (every/each) is always followed by a singular noun, regardless of gender.","https://www.lawlessitalian.com/grammar/indefinite-adjectives/"
"Per andare al lavoro ci metto solo venti minuti.","Per andare al lavoro ci ___ solo venti minuti.","To go to work, it only takes me twenty minutes.","","","vuole","mettiamo","metto","vogliono","C","A2","Volerci vs. Metterci","The verb 'metterci' is used to express the amount of time someone takes to do something. The verb is conjugated according to the subject, 'io' (I) in this case, so 'ci metto' is the correct form.","https://www.lawlessitalian.com/grammar/volerci-vs-metterci/"
"Se fossi ricco, comprerei una villa in campagna.","Se fossi ricco, ___ una villa in campagna.","If I were rich, I would buy a villa in the countryside.","","","compro","ho comprato","comprerei","comprai","C","A2","Condizionale Presente","The conditional 'comprerei' is used to describe a hypothetical action or result that depends on a condition ('If I were rich'). It is the first-person singular of the verb 'comprare' in the conditional mood.","https://www.lawlessitalian.com/grammar/present-conditional/"
"I miei amici stanno aspettando l'autobus.","I miei amici ___ aspettando l'autobus.","My friends are waiting for the bus.","","","stai","state","stiamo","stanno","D","A2","Stare + Gerundio","The present progressive is formed with a conjugated form of 'stare' followed by a gerund. 'Stanno' is the correct third-person plural conjugation of 'stare' to match the subject 'i miei amici' (my friends).","https://www.lawlessitalian.com/grammar/stare-gerundio-present-progressive/"
"Non disturbare, sto leggendo il giornale.","Non disturbare, ___ leggendo il giornale.","Don't bother me, I am reading the newspaper.","","","sto","stai","sta","state","A","A2","Stare + Gerundio","The present progressive is formed with a conjugated form of 'stare' followed by a gerund. 'Sto' is the correct first-person singular conjugation of 'stare' to match the subject 'io' (I), which is implied.","https://www.lawlessitalian.com/grammar/stare-gerundio-present-progressive/"
"Mia sorella è molto intelligente e studiosa.","Mia sorella ___ molto intelligente e studiosa.","My sister is very intelligent and studious.","","","è","ha","sta","fa","A","A2","Verbo Essere e Presente Indicativo","The verb 'essere' (to be) is used to describe permanent characteristics and states. Third person singular form is 'è'.","https://www.lawlessitalian.com/grammar/essere"
"I bambini giocano sempre nel cortile della scuola.","I bambini ___ sempre nel cortile della scuola.","The children always play in the school courtyard.","","","gioco","giocano","gioca","giochiamo","B","A2","Verbo Essere e Presente Indicativo","Regular -are verbs in present tense: third person plural ending is -ano. 'Giocare' becomes 'giocano'.","https://www.lawlessitalian.com/grammar/present-tense"
"Marco sta leggendo un libro molto interessante.","Marco ___ leggendo un libro molto interessante.","Marco is reading a very interesting book.","","","è","ha","sta","va","C","A2","Stare + Gerundio","The present progressive is formed with 'stare' + gerund. Third person singular of 'stare' is 'sta'.","https://www.lawlessitalian.com/grammar/present-progressive"
"Da bambino andavo sempre al mare d'estate.","Da bambino ___ sempre al mare d'estate.","As a child I always went to the sea in summer.","habitual past action","","sono andato","andavo","vado","andrei","B","A2","Imperfetto vs. Passato Prossimo","The imperfect tense (imperfetto) is used for habitual actions in the past. 'Sempre' indicates repetition.","https://www.lawlessitalian.com/grammar/imperfect-vs-compound-past"
"Ieri mattina ho incontrato Paolo al supermercato.","Ieri mattina ___ incontrato Paolo al supermercato.","Yesterday morning I met Paolo at the supermarket.","completed action","","incontravo","incontro","ho","avevo","C","A2","Imperfetto vs. Passato Prossimo","The compound past (passato prossimo) is used for completed actions. 'Ieri' indicates a specific completed event.","https://www.lawlessitalian.com/grammar/imperfect-vs-compound-past"
"In questo ristorante si mangia molto bene.","In questo ristorante ___ mangia molto bene.","In this restaurant one eats very well.","","","ci","si","ne","li","B","A2","Si Impersonale","The impersonal 'si' is used to express general statements equivalent to 'one' or 'people' in English.","https://www.lawlessitalian.com/grammar/impersonal-si"
"Come si dice 'thank you' in italiano?","Come ___ dice 'thank you' in italiano?","How do you say 'thank you' in Italian?","","","ti","vi","si","ci","C","A2","Si Impersonale","The impersonal 'si' is used in the expression 'come si dice' (how do you say/how does one say).","https://www.lawlessitalian.com/grammar/impersonal-si"
"Alcuni studenti sono partiti presto dalla lezione.","___ studenti sono partiti presto dalla lezione.","Some students left early from the lesson.","","","Qualche","Alcuni","Ogni","Tutto","B","A2","Aggettivi e Pronomi Indefiniti","'Alcuni' (some) agrees with masculine plural nouns. 'Qualche' is always singular despite plural meaning.","https://www.lawlessitalian.com/grammar/indefinite-adjectives"
"Professore, mi scusi un momento per favore.","Professore, mi ___ un momento per favore.","Professor, excuse me for a moment please.","formal","","scusa","scusi","scusate","scusano","B","A2","Imperativo Formale","The formal imperative (Lei form) of 'scusare' is 'scusi'. Used when addressing someone formally.","https://www.lawlessitalian.com/grammar/imperative"
"Luca e Maria sono molto simpatici.","Luca e Maria ___ molto simpatici.","Luca and Maria are very nice.","","","sono","è","siamo","siete","A","A2","Verbo Essere e Presente Indicativo","Use 'sono' (they are) for third person plural with the verb essere.","https://www.lawlessitalian.com/grammar/essere/"
"Marco fa sempre colazione alle sette.","Marco ___ sempre colazione alle sette.","Marco always has breakfast at seven.","","","fa","fai","fanno","facciamo","A","A2","Verbo Essere e Presente Indicativo","Use 'fa' (he/she does/makes) for third person singular of the irregular verb 'fare'.","https://www.lawlessitalian.com/grammar/present-tense/"
"Il ragazzo di cui ti ho parlato studia medicina.","Il ragazzo di ___ ti ho parlato studia medicina.","The boy I told you about studies medicine.","","","cui","che","quale","chi","A","A2","Pronomi Relativi","Use 'cui' after prepositions in relative clauses. 'Di cui' means 'about whom/which'.","https://www.lawlessitalian.com/grammar/relative-pronouns/"
"Ve li porto domani mattina presto.","___ porto domani mattina presto.","I'll bring them to you tomorrow morning early.","","","Ve li","Li vi","A voi li","Veli","A","A2","Pronomi Combinati","Combined pronouns: vi (to you plural) + li (them masculine) = ve li. Written as two words.","https://www.lawlessitalian.com/grammar/combined-pronouns/"
"Ce lo hanno detto ieri sera a cena.","___ hanno detto ieri sera a cena.","They told it to us yesterday evening at dinner.","","","Ce lo","Ci lo","Lo ci","A noi lo","A","A2","Pronomi Combinati","Combined pronouns: ci (to us) + lo (it masculine) = ce lo. 'Ci' changes to 'ce' before lo/la/li/le/ne.","https://www.lawlessitalian.com/grammar/combined-pronouns/"
"In questo negozio si comprano vestiti di marca.","In questo negozio si ___ vestiti di marca.","In this store designer clothes are bought.","","","comprano","compra","compriamo","comprate","A","A2","Si Impersonale","With si impersonale and plural direct objects, the verb agrees with the plural noun (vestiti = comprano).","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Si lavora molto bene in questa azienda.","___ lavora molto bene in questa azienda.","One works very well in this company.","","","Si","Ci","Ne","Vi","A","A2","Si Impersonale","Use 'si' for impersonal constructions meaning 'one does' or 'people do'.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Per imparare l'italiano bene ci vogliono molti anni.","Per imparare l'italiano bene ___ molti anni.","To learn Italian well takes many years.","","","ci vogliono","ci metto","ci vuole","mi servono","A","A2","Volerci vs. Metterci","Use 'volerci' (impersonal) for general time needed. 'Ci vogliono' agrees with plural 'molti anni'.","https://www.lawlessitalian.com/grammar/volerci-metterci/"
"Io ci metto un'ora per arrivare all'università.","Io ___ un'ora per arrivare all'università.","I take an hour to get to the university.","","","ci metto","ci vuole","ci vogliono","mi serve","A","A2","Volerci vs. Metterci","Use 'metterci' (personal) when specifying who takes the time. The subject performs the action.","https://www.lawlessitalian.com/grammar/volerci-metterci/"
"Write: I saw someone at the park.","Write: I saw someone at the park.","Ho visto qualcuno al parco.","","","Ho visto qualcuno al parco.","Ho veduto qualcuno nel parco.","Visto qualcuno al parco.","Ho visto qualche al parco.","A","A2","Aggettivi e Pronomi Indefiniti","Use 'qualcuno' (someone) as an indefinite pronoun. 'Al parco' (at the park) uses the contracted preposition.","https://www.lawlessitalian.com/grammar/indefinite-adjectives-pronouns/"
"Tu sei molto bravo a cucinare.","Tu ___ molto bravo a cucinare.","You are very good at cooking.","","","sei","hai","stai","fai","A","A2","Verbo Essere e Presente Indicativo","Essere is used with adjectives like 'bravo' to describe skills or characteristics.","https://www.lawlessitalian.com/grammar/essere/"
"Le mie sorelle sono all'università.","Le mie sorelle ___ all'università.","My sisters are at university.","","","sono","hanno","stanno","vanno","A","A2","Verbo Essere e Presente Indicativo","Essere is used to indicate location or position, with the third person plural form 'sono'.","https://www.lawlessitalian.com/grammar/essere/"
"Potresti aiutarmi con questo problema?","___ aiutarmi con questo problema?","Could you help me with this problem?","","","Potresti","Puoi","Potevi","Potrai","A","A2","Condizionale Presente","The conditional present 'potresti' is used for polite requests, more courteous than the present indicative 'puoi'.","https://www.lawlessitalian.com/grammar/conditional-present/"
"Mentre studiavo, è arrivata una telefonata.","Mentre ___, è arrivata una telefonata.","While I was studying, a phone call came.","","","studiavo","ho studiato","studio","studierò","A","A2","Imperfetto vs. Passato Prossimo","The imperfetto describes ongoing background actions, while passato prossimo describes completed events that interrupt them.","https://www.lawlessitalian.com/grammar/imperfect-perfect/"
"Da bambina andavo sempre dalla nonna la domenica.","Da bambina ___ sempre dalla nonna la domenica.","As a child I always used to go to grandma's on Sundays.","feminine speaker","","andavo","sono andata","vado","andrò","A","A2","Imperfetto vs. Passato Prossimo","The imperfetto is used for habitual actions in the past, indicated by 'sempre' (always).","https://www.lawlessitalian.com/grammar/imperfect-perfect/"
"Ieri ho incontrato Marco al supermercato.","Ieri ___ incontrato Marco al supermercato.","Yesterday I met Marco at the supermarket.","","","ho","incontravo","incontro","avevo","A","A2","Imperfetto vs. Passato Prossimo","Passato prossimo is used for specific completed actions in the past, indicated by 'ieri' (yesterday).","https://www.lawlessitalian.com/grammar/imperfect-perfect/"
"Non glielo voglio dire adesso.","Non ___ voglio dire adesso.","I don't want to tell it to him/her right now.","","","glielo","gli lo","le lo","lo gli","A","A2","Pronomi Combinati","The combined pronoun 'glielo' combines the indirect object pronouns 'gli/le' (to him/her) with the direct object pronoun 'lo' (it).","https://www.lawlessitalian.com/grammar/combined-pronouns/"
"A che ora si cena in questa famiglia?","A che ora ___ cena in questa famiglia?","What time does one have dinner in this family?","","","si","ci","vi","ti","A","A2","Si Impersonale","Si impersonale is used to express general habits or customs without specifying who performs the action.","https://www.lawlessitalian.com/grammar/si-impersonale/"
"In questa pizzeria si preparano ottime pizze.","In questa pizzeria si ___ ottime pizze.","Excellent pizzas are prepared in this pizzeria.","","","preparano","prepara","preparava","preparerà","A","A2","Si Impersonale","With si impersonale and plural direct objects, the verb agrees in number with the object (preparano agrees with pizze).","https://www.lawlessitalian.com/grammar/si-impersonale/"
"Mi farebbe un favore?","Mi ___ un favore?","Would you do me a favor?","formal","","faresti","farebbe","faremo","fa","B","A2","Condizionale Presente","The conditional tense (farebbe) is used for a polite request, especially in a formal context (indicated by the lack of 'tu'). The 'Lei' form of 'fare' is 'farebbe'.","https://www.lawlessitalian.com/grammar/verbs/conditional/"
"Ci vuole una settimana per finire il progetto.","___ una settimana per finire il progetto.","It takes a week to finish the project.","","","Ci metto","Ci vuole","Ci mettiamo","Ci vogliono","B","A2","Volerci vs. Metterci","'Volerci' is an impersonal verb used to express the time or resources needed for something. Since 'una settimana' is singular, 'ci vuole' is the correct form.","https://www.lawlessitalian.com/grammar/verbs/volerci-vs-metterci/"
"Qualche studente non ha ancora il libro.","___ studente non ha ancora il libro.","A few students still don't have the book.","","","Qualche","Alcuni","Nessun","Ogni","A","A2","Aggettivi e Pronomi Indefiniti","The indefinite adjective 'qualche' always precedes a singular noun, even though it means 'a few' or 'some'. 'Alcuni' would be correct if 'studenti' were plural.","https://www.lawlessitalian.com/grammar/indefinite-adjectives/"
"Se li ha presi, me li restituisca domani.","Se li ha presi, ___ restituisca domani.","If you've taken them, please return them to me tomorrow.","formal","","me li","glielo","ce la","te li","A","A2","Pronomi Combinati","The combined pronoun 'me li' is the correct form to say 'them to me'. It is a combination of the indirect object pronoun 'mi' and the direct object pronoun 'li' (referring to a masculine plural noun, implied here).","https://www.lawlessitalian.com/grammar/pronouns/combined-pronouns/"
"Non si fuma in questo ristorante.","Non ___ in questo ristorante.","One does not smoke in this restaurant.","","","si fuma","si fumano","fumate","fumano","A","A2","Si Impersonale","The impersonal 'si' (si fuma) is used to make a general statement or rule. It is always followed by a verb in the third-person singular.","https://www.lawlessitalian.com/grammar/verbs/impersonal-si/"
"Dove si comprano i biglietti per il treno?","Dove si ___ i biglietti per il treno?","Where does one buy train tickets?","","","compra","comprano","compro","compriamo","B","A2","Si Impersonale","The impersonal 'si' agrees with the noun it refers to. Since 'biglietti' is a plural noun, the verb must be in the third-person plural (si comprano).","https://www.lawlessitalian.com/grammar/verbs/impersonal-si/"
"Ti ho dato il libro ieri.","Write: I gave you the book yesterday.","I gave you the book yesterday.","","","Io ti ho dato il libro ieri.","Ti ho dato il libro ieri.","Ti ho dato il libri ieri.","Mi hai dato il libro ieri.","B","A2","Pronomi Combinati","This question tests the use of the indirect object pronoun 'ti' (to you) in the passato prossimo. In Italian, the pronoun precedes the auxiliary verb. Dropping the subject pronoun 'Io' is also common and natural in spoken Italian.","https://www.lawlessitalian.com/grammar/pronouns/indirect-object-pronouns/"
"Me lo puoi prestare per un giorno?","___ puoi prestare per un giorno?","Can you lend it to me for a day?","","","Me lo","Ce lo","Glielo","Te lo","A","A2","Pronomi Combinati","The combined pronoun 'me lo' is a combination of 'mi' (to me) and 'lo' (it, masculine), correctly translating 'it to me'. The other options are incorrect pronoun combinations for this context.","https://www.lawlessitalian.com/grammar/pronouns/combined-pronouns/"
"Quante ore ci vogliono per preparare la cena?","Quante ore ci ___ per preparare la cena?","How many hours does it take to prepare dinner?","","","metterete","mettete","vogliono","vuole","C","A2","Volerci vs. Metterci","The impersonal verb 'volerci' is used to express how much time is needed. It is always conjugated with the auxiliary verb 'essere' and the third person singular or plural, depending on the subject. Since 'ore' is plural, the correct form is 'vogliono'.","https://www.lawlessitalian.com/grammar/verbs/volerci-vs-metterci/"
"Per arrivare in stazione, ci metto solo dieci minuti a piedi.","Per arrivare in stazione, ci ___ solo dieci minuti a piedi.","To get to the station, it only takes me ten minutes on foot.","","","metto","metti","mette","mettiamo","A","A2","Volerci vs. Metterci","The verb 'metterci' is used to express how much time a person or subject takes to do something. The verb is conjugated according to the subject, in this case 'io' (I). The correct conjugation is 'metto'.","https://www.lawlessitalian.com/grammar/verbs/volerci-vs-metterci/"
"Vorrei un cappuccino e un cornetto, per favore.","___ un cappuccino e un cornetto, per favore.","I would like a cappuccino and a croissant, please.","","","Voglio","Vorrò","Vorrei","Volerei","C","A2","Condizionale Presente","The present conditional ('condizionale presente') is used to make a polite request. 'Vorrei' is the first-person singular conjugation of 'volere' and is a common, polite way to order something.","https://www.lawlessitalian.com/grammar/verbs/present-conditional/"
"Potresti chiudere la finestra? Fa un po' freddo.","___ chiudere la finestra? Fa un po' freddo.","Could you close the window? It's a bit cold.","","","Potrai","Puoi","Potresti","Potere","C","A2","Condizionale Presente","The present conditional is used here to make a polite request or suggestion. 'Potresti' is the second-person singular conjugation of 'potere' and is a more polite way to ask for something than 'puoi'.","https://www.lawlessitalian.com/grammar/verbs/present-conditional/"
"Marta non sa dove sono le chiavi, ma forse gliele porto io dopo.","Marta non sa dove sono le chiavi, ma forse ___ porto io dopo.","Marta doesn't know where the keys are, but maybe I'll bring them to her later.","","","glielo","le la","gliele","te la","C","A2","Pronomi Combinati","The combined pronoun 'gliele' is formed by combining the indirect object pronoun 'le' (to her) with the direct object pronoun 'le' (them, referring to the feminine plural 'le chiavi'). The 'le' for 'to her' changes to 'glie' before another direct object pronoun.","https://www.lawlessitalian.com/grammar/pronouns/combined-pronouns/"
